,Strain,Type,Effects,Flavor,Description,name,ailment,all_text,lemmas
23,Ak-47,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.",,,"Ak-47 hybrid Happy,Relaxed,Uplifted,Euphoric,Energetic Earthy,Pungent,Woody Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.  ",Ak-47 hybrid Happy Relaxed Uplifted euphoric Energetic Earthy pungent Woody let intense    fool AK-47 leave relaxed mellow sativa dominant hybrid deliver steady long last cerebral buzz keep mentally alert engage creative social activity AK-47 mix colombian mexican Thai afghani variety bring complex blend flavor effect AK-47 ’s scent sour earthy sweet floral note fully realize taste    create 1992 Seeds AK-47 win numerous Cannabis Cup award world soar THC content hope fill garden resinous skunky hybrid grower recommend indoor environment soil hydroponic setup AK-47 easy grow short indoor flower time 53 63 day outdoor plant typically finish end October  
24,Ak-48,hybrid,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus","Although it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock.",,,"Ak-48 hybrid Happy,Energetic,Uplifted,Creative,Relaxed Earthy,Pungent,Citrus Although it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock.  ",Ak-48 hybrid happy energetic Uplifted Creative Relaxed earthy pungent Citrus hybrid AK-48 high lean typical sativa effect    AK-48 parent Ice Jock Horror    Ice mother ancestor Afghani Skunk Northern Lights Shiva stock  
25,Aberdeen,hybrid,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical","Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.",,,"Aberdeen hybrid Uplifted,Euphoric,Giggly,Energetic,Sleepy Menthol,Blue,Cheese,Chemical Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.  ",Aberdeen hybrid Uplifted euphoric giggly energetic Sleepy Menthol Blue Cheese Chemical Aberdeen variety Agent Orange grow canadian LP Aphria like Agent Orange Aberdeen combine genetic Orange Velvet Jack Ripper create mix sweet orange citrus flavor happy uplifting effect Aberdeen mirror Agent Orange regularly prescribe anxiety migraine gastrointestinal disorder  
26,Abusive-Og,indica,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel","A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.",,,"Abusive-Og indica Relaxed,Euphoric,Sleepy,Happy,Giggly Earthy,Pine,Diesel A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.  ",Abusive Og indica Relaxed euphoric Sleepy happy Giggly Earthy Pine Diesel popular californian cut OG Kush Abusive OG indica strain inherit nickname original grower despite violent abusive OG ease peaceful state mind fade time body relaxation true og genetic Abusive OG earthy spice aroma subtle lemon undertone patient not mind mental haziness choose strain remedy pain anxiety appetite loss sleeplessness end day abusive OG produce high yield garden make resin cake bud  
27,Acapulco-Gold,sativa,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent","One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. ",,,"Acapulco-Gold sativa Happy,Uplifted,Euphoric,Energetic,Relaxed Earthy,Sweet,Pungent One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors.   ",Acapulco gold sativa Happy Uplifted euphoric energetic Relaxed Earthy sweet Pungent know strain Acapulco Gold liken dinner star restaurant strain    come area Acapulco Mexico orange hair resemble gold nugget gold green brown color resin collect bud aroma burn toffee linger bud break    Acapulco Gold    reputation    good cannabis strain create difficult find grower move indoors    
28,Ace-Killer-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal","Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.",,,"Ace-Killer-Og indica Relaxed,Sleepy,Euphoric,Happy,Uplifted Earthy,Diesel,Spicy/Herbal Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.  ",Ace Killer Og indica Relaxed sleepy Euphoric happy Uplifted Earthy Diesel Spicy Herbal Ace Killer OG indica strain boast high THC content pungent diesel aroma breed White Fire OG King ’s Kush Kosher Kush mystery strain Ace Killer OG inherit heavy blanket snow like resin hard hit effect stupefy seasoned veteran  
29,Ace-Of-Spades,indica,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody","Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.",,,"Ace-Of-Spades indica Relaxed,Euphoric,Happy,Sleepy,Hungry Earthy,Sweet,Woody Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.  ",ace Spades indica Relaxed Euphoric happy sleepy Hungry Earthy Sweet Woody Ace Spades creation TGA Subcool Seeds take advantage popular sweet sour combination go style crossbreed Black Cherry Soda Jack Ripper strain earthy berry citrus smell carry taste distinctly lemony flavor Ace Spades plant grow fast need lot space bushy tall flower occur 8 week generally large heavy bud pretty look range color include purple blue pink coat orange hair  
30,Aceh,sativa,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon","Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties ",Aceh,"Depression, Stress, Lack of Appetite, Insomnia, Pain","Aceh sativa Creative,Euphoric,Talkative,Energetic,Happy Earthy,Mango,Lemon Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties  Aceh Depression, Stress, Lack of Appetite, Insomnia, Pain",Aceh sativa Creative euphoric talkative energetic Happy Earthy Mango Lemon Aceh call Atjeh refer sativa variety cannabis come Aceh region Indonesia sativa typically grow tall thin consider fine Indonesia ’s landrace variety    Aceh Depression stress Lack Appetite Insomnia Pain
31,Acid,hybrid,"Creative,Happy,Euphoric,Energetic,Uplifted","Lemon,Diesel,Earthy","Acid is Paradise Seeds’ take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks. ",,,"Acid hybrid Creative,Happy,Euphoric,Energetic,Uplifted Lemon,Diesel,Earthy Acid is Paradise Seeds’ take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks.   ",acid hybrid Creative happy euphoric energetic Uplifted Lemon Diesel Earthy Acid Paradise Seeds original New York Sour Diesel expect powerful body effect include uplifted nearly psychedelic mental energy plant exhibit metallic flavor representative namesake traditional note gas nose acid thrive indoor outdoor environment finish 9 10 week    
32,Acid-Dough,sativa,"Talkative,Giggly,Happy,Hungry,Relaxed",None,"Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup. ",,,"Acid-Dough sativa Talkative,Giggly,Happy,Hungry,Relaxed None Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup.   ",Acid Dough sativa talkative giggly happy hungry Relaxed Acid Dough Ripper Seeds sativa dominant strain energetic effect create cross Lilly Queen Mother x Congo x OG Badazz strain offer sweet candy like aroma bright pineapple flavor generous yield Acid Dough approximate 65 70 day flower time colorful foliage strain respond cold temperature finishing process create bud deep violet hue extra resin production Acid Dough win 2nd Place good Sativa 2017 Spannabis Champions Cups 2nd Place 2016 Expogrow Cup    
